0000000601,scans,0000000052,DataLength
"header",0000000040,"lines"
"Date",19/11/2020,"Time",11:43:33
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","+ion SIMS","SEM","energy",0.00,30.00,0.05,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","+ion SIMS"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",-2,"%"
"F1",0,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",0.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",100.0000,"uA"
"energy",5.75,"V"
"extractor",-42,"V"
"focus2",-352,"V"
"gate_delay",0.1,"uS"
"gate_width",30.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",10,"%"
"lens1",-68,"V"
"lens2",-112,"V"
"mass",41.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",30,"%"
"Data",1
"Cycle","Time","ms","energy V","SEM c/s"
0000000001,00:00:01,0000001381,    0.00,       500
0000000001,00:00:01,0000001381,    0.05,       100
0000000001,00:00:01,0000001381,    0.10,         0
0000000001,00:00:01,0000001381,    0.15,         0
0000000001,00:00:01,0000001381,    0.20,       100
0000000001,00:00:01,0000001381,    0.25,         0
0000000001,00:00:01,0000001381,    0.30,         0
0000000001,00:00:01,0000001381,    0.35,         0
0000000001,00:00:01,0000001381,    0.40,         0
0000000001,00:00:01,0000001381,    0.45,         0
0000000001,00:00:01,0000001381,    0.50,         0
0000000001,00:00:01,0000001381,    0.55,         0
0000000001,00:00:01,0000001381,    0.60,         0
0000000001,00:00:01,0000001381,    0.65,         0
0000000001,00:00:01,0000001381,    0.70,         0
0000000001,00:00:01,0000001381,    0.75,         0
0000000001,00:00:01,0000001381,    0.80,       200
0000000001,00:00:01,0000001381,    0.85,         0
0000000001,00:00:01,0000001381,    0.90,       200
0000000001,00:00:01,0000001381,    0.95,         0
0000000001,00:00:01,0000001381,    1.00,         0
0000000001,00:00:01,0000001381,    1.05,       300
0000000001,00:00:01,0000001381,    1.10,         0
0000000001,00:00:01,0000001381,    1.15,       100
0000000001,00:00:01,0000001381,    1.20,       300
0000000001,00:00:01,0000001381,    1.25,         0
0000000001,00:00:01,0000001381,    1.30,         0
0000000001,00:00:01,0000001381,    1.35,       200
0000000001,00:00:01,0000001381,    1.40,         0
0000000001,00:00:01,0000001381,    1.45,       100
0000000001,00:00:01,0000001381,    1.50,         0
0000000001,00:00:01,0000001381,    1.55,       200
0000000001,00:00:01,0000001381,    1.60,       100
0000000001,00:00:01,0000001381,    1.65,       100
0000000001,00:00:01,0000001381,    1.70,       300
0000000001,00:00:01,0000001381,    1.75,         0
0000000001,00:00:01,0000001381,    1.80,       300
0000000001,00:00:01,0000001381,    1.85,       200
0000000001,00:00:01,0000001381,    1.90,       500
0000000001,00:00:01,0000001381,    1.95,       400
0000000001,00:00:01,0000001381,    2.00,       100
0000000001,00:00:01,0000001381,    2.05,         0
0000000001,00:00:01,0000001381,    2.10,         0
0000000001,00:00:01,0000001381,    2.15,         0
